Data_Date,New_Cases
2020-04-03,385
2020-04-04,75
2020-04-05,152
2020-04-06,412
2020-04-07,104
2020-04-08,106
2020-04-09,205
2020-04-10,119
2020-04-11,233
2020-04-12,220
2020-04-13,284
2020-04-14,289
2020-04-15,230
2020-04-16,206
2020-04-17,218
2020-04-18,207
2020-04-19,171
2020-04-20,197
2020-04-21,136
2020-04-22,108
2020-04-23,270
2020-04-24,211
2020-04-25,102
2020-04-26,282
2020-04-27,197
2020-04-28,180
2020-04-29,252
2020-04-30,271
2020-05-01,281
2020-05-02,155
2020-05-03,295
2020-05-04,260
2020-05-05,199
2020-05-06,319
2020-05-07,334
2020-05-08,117
2020-05-09,146
2020-05-10,180
2020-05-11,286
2020-05-12,262
2020-05-13,265
2020-05-14,255
2020-05-15,213
2020-05-16,214
2020-05-17,207
2020-05-18,204
2020-05-19,223
2020-05-20,275
2020-05-21,211
2020-05-22,163
2020-05-23,179
2020-05-24,256
2020-05-25,282
2020-05-26,349
2020-05-27,374
2020-05-28,533
2020-05-29,1038
2020-05-30,577
2020-05-31,851
2020-06-01,547
2020-06-02,356
2020-06-03,744
2020-06-04,630
2020-06-05,240
2020-06-06,701
2020-06-07,547
2020-06-08,571
2020-06-09,507
2020-06-10,721
2020-06-11,440
2020-06-12,606
2020-06-13,599
2020-06-14,531
2020-06-15,482
2020-06-16,361
2020-06-17,454
2020-06-18,559
2020-06-19,648
2020-06-20,936
2020-06-21,649
2020-06-22,623
2020-06-23,1133
2020-06-24,466
2020-06-25,765
2020-06-26,994
2020-06-27,732
2020-06-28,642
2020-06-29,966
2020-06-30,1044
2020-07-01,842
2020-07-02,252
2020-07-03,1474
2020-07-04,1361
2020-07-05,2318
2020-07-06,1978
2020-07-07,1470
2020-07-08,2305
2020-07-09,1332
2020-07-10,1167
2020-07-11,1317
2020-07-12,2055
2020-07-13,810
2020-07-14,601
2020-07-15,1264
2020-07-16,2400
2020-07-17,1662
2020-07-18,2223
2020-07-19,2166
2020-07-20,1487
2020-07-21,1904
2020-07-22,1443
2020-07-23,2101
2020-07-24,1999
2020-07-25,1963
2020-07-26,2034
2020-07-27,1629
2020-07-28,1607
2020-07-29,1815
2020-07-30,3849
2020-07-31,3926
2020-08-01,4810
2020-08-02,4881
2020-08-03,3139
2020-08-04,5898
2020-08-05,3390
2020-08-06,3458
2020-08-07,3297
2020-08-08,4143
2020-08-09,3014
2020-08-10,6837
2020-08-11,2869
2020-08-12,4227
2020-08-13,3897
2020-08-14,6081
2020-08-15,4227
2020-08-16,3313
2020-08-17,3245
2020-08-18,4768
2020-08-19,4522
2020-08-20,4227
2020-08-21,4682
2020-08-22,4850
2020-08-23,2325
2020-08-24,4602
2020-08-25,2920
2020-08-26,5188
2020-08-27,3185
2020-08-28,3922
