_date_,agri,volpal,dubai,cpi,expt,gdp,gov,impt,ind,libor3,nfia,nonagri,ofwremit,pce,serv,tbill91,tbillall,unemp
1981-01-01,36714,NA,37.733332313333336,12.966666666666666,43619,154381,11778,42799,62230,NA,-816,117667,NA,91481,55437,NA,12.6,NA
1981-04-01,38364,NA,33.699999493333328,13.166666666666666,43102,159549,12597,46783,64548,NA,-861,121185,NA,100260,56637,NA,12.733333333333334,NA
1981-07-01,30711,NA,32.063332873333336,13.633333333333332,38381,148592,11947,45413,62914,NA,-1231,117881,NA,101908,54967,NA,12.966666666666666,NA
1981-10-01,42690,NA,33.680000306666672,13.9,44309,168120,12353,43062,68853,NA,-1413,125430,NA,114309,56577,NA,13.166666666666666,NA
1982-01-01,35840,NA,31,14.366666666666668,38259,159109,13455,43979,64600,NA,-2511,123269,NA,94727,58669,NA,14.133333333333332,NA
1982-04-01,39637,NA,32.293333053333336,14.6,41511,165495,13455,47132,66947,NA,-3490,125858,NA,103382,58911,NA,14.700000000000002,NA
1982-07-01,28460,NA,31.983333586666664,15.066666666666668,33800,151909,12496,46786,64126,NA,-3414,123449,NA,104297,59323,NA,14.6,NA
1982-10-01,45704,NA,31.750000636666668,15.133333333333332,37737,176954,12922,44517,69284,NA,-2542,131250,NA,119661,61966,NA,14.3,NA
1983-01-01,36655,NA,29.049999873333336,15.266666666666666,39158,164767,12071,43427,66335,NA,-2958,128112,NA,96487,61777,NA,14.366666666666668,NA
1983-04-01,38794,NA,28.453030266666668,15.533333333333332,42628,174926,12543,46382,72231,NA,-834,136132,NA,103859,63901,NA,14.233333333333334,NA
1983-07-01,28444,NA,28.538790386666664,16.26666666666667,38103,154601,12499,46178,63161,NA,-2391,126157,NA,104348,62996,NA,14.3,NA
1983-10-01,40693,NA,27.825785953333332,17.8,36636,171423,12741,40854,67260,NA,-7437,130730,NA,119940,63470,NA,15.200000000000002,NA
1984-01-01,36149,NA,27.736513136666664,20.866666666666664,39690,157448,11407,33606,63930,NA,-7056,121299,NA,96978,57369,NA,16.133333333333336,NA
1984-04-01,38859,NA,27.996990203333336,22.3,42078,163802,11200,35385,63621,NA,-5722,124943,NA,104169,61322,NA,21.033333333333336,NA
1984-07-01,27392,NA,27.27835973,26.1,42585,137680,10062,39094,54396,NA,-5232,110288,NA,104453,55892,NA,33.833333333333336,NA
1984-10-01,40847,NA,27.026126863333332,27.866666666666664,39285,158032,11302,37849,56091,NA,-6258,117185,NA,120167,61094,NA,41.966666666666672,NA
1985-01-01,35511,NA,27.209976196666668,29.333333333333332,34879,139990,10056,28529,49856,NA,-6515,104479,NA,98973,54623,NA,33.433333333333332,NA
1985-04-01,37902,NA,25.941966376666668,29.466666666666668,35678,147629,10032,35961,51772,NA,-3821,109727,NA,101214,57955,NA,34.300000000000004,NA
1985-07-01,26718,NA,26.198879876666668,30.066666666666668,32562,130098,10678,31651,48248,NA,-6393,103380,NA,101051,55132,NA,21.833333333333332,NA
1985-10-01,40423,NA,26.681882856666664,30.166666666666668,34222,154166,12754,29064,50672,NA,-3726,113743,NA,119594,63071,NA,16.5,NA
1986-01-01,36063,NA,16.775146800000002,30.6,35028,139896,10006,30896,48974,7.9283,-4953,103833,NA,99619,54859,NA,21.466666666666668,NA
1986-04-01,39093,NA,10.574366886666666,30,40075,151701,10316,35328,52973,6.9976,-5476,112608,NA,106344,59635,NA,16.666666666666668,NA
1986-07-01,28798,NA,11.041963897333332,29.8,42700,140092,10859,36278,51700,6.2947,-4890,111294,NA,106506,59594,NA,13.5,NA
1986-10-01,41771,NA,13.827580133333334,30,42768,159734,12488,35519,51517,6.1521,-4612,117963,NA,122346,66446,NA,11.766666666666666,NA
1987-01-01,36998,NA,16.930603663333332,30.466666666666668,40519,144219,10642,39214,48791,6.3862,-4964,107221,NA,101545,58430,9.5333333333333328,11.433333333333332,NA
1987-04-01,40836,NA,17.095473606666666,30.833333333333332,42648,157193,10983,43281,53594,7.1570,-5555,116357,NA,111092,62763,11.566666666666668,13.166666666666666,NA
1987-07-01,29881,NA,17.328949609999998,31.766666666666664,44535,149537,11277,48247,57787,7.2238,-2018,119656,NA,110414,61869,11.733333333333334,13.4,NA
1987-10-01,42699,NA,16.504223823333334,32.233333333333336,43829,165974,12890,46790,53217,7.9824,-3479,123275,NA,129335,70058,13.266666666666666,14.4,NA
1988-01-01,37211,NA,14.746216773333332,34.766666666666664,44981,152816,10889,46079,53810,6.9680,-3057,115605,NA,107828,61795,13,14.3,NA
1988-04-01,38893,NA,14.80138016,35.366666666666668,48794,160890,11529,51986,54796,7.4964,-4153,121997,NA,119124,67201,14.8,15.766666666666666,NA
1988-07-01,33880,NA,12.647359846666668,35.966666666666668,50955,158376,12993,56485,57957,8.4067,-2809,124496,NA,119721,66539,14.666666666666666,15.633333333333334,NA
1988-10-01,45308,NA,11.250956853333334,36.566666666666672,51728,186499,14532,57807,65489,9.0161,-4333,141191,NA,133889,75702,16.233333333333334,17.133333333333332,NA
1989-01-01,39503,NA,15.11356354,38.300000000000008,49864,162483,12708,53702,56159,9.8135,-4336,122980,70593.333333333328,113865,66821,16.033333333333334,16.76666666666667,NA
1989-04-01,38150,NA,16.190570196666666,39.166666666666672,53042,169601,12615,63321,59130,9.7666,-4568,131451,79528.333333333328,124365,72321,16.433333333333334,17.3,NA
1989-07-01,35148,NA,15.386466660000002,40.7,54601,166980,13407,63413,60759,8.9219,-3260,131832,85963,125241,71073,19.833333333333332,20.7,NA
1989-10-01,47163,NA,16.435363133333336,41.966666666666672,56381,200384,14704,64154,73127,8.6220,-3053,153221,97885.666666666672,141148,80094,22.3,23.1,NA
1990-01-01,39396,NA,16.720910070000002,43,53984,171001,14379,63558,61051,8.4033,11,131605,104955.66666666668,119902,70554,20.966666666666664,22.3,NA
1990-04-01,38632,NA,13.70898342,43.933333333333336,54927,175530,14179,71434,61153,8.4623,-1593,136898,107102.33333333332,130988,75745,23.666666666666668,24.633333333333328,NA
1990-07-01,35477,NA,23.987363816666668,45.133333333333336,56645,173135,14272,71162,62631,8.1658,826,137658,102713.66666666668,132046,75027,23.400000000000004,24.666666666666668,8.448787728847104
1990-10-01,47229,NA,28.497983936666668,47.566666666666664,52309,201024,14212,62994,70713,8.0942,-3005,153795,86231.333333333328,148836,83082,26.633333333333336,28.066666666666668,8.1264016309887856
1991-01-01,41204,NA,16.945027033333332,51.533333333333336,55145,170766,14118,62240,58038,6.8879,498,129562,95125,124334,71524,25.266666666666664,25.6,8.7030509298650784
1991-04-01,38227,NA,15.44822661,52.9,58981,173321,13832,66034,59314,6.1623,329,135094,140588.33333333334,134451,75780,19.466666666666664,21.066666666666668,14.401976456910334
1991-07-01,33440,NA,16.698913573333332,54.466666666666672,55882,169851,13923,68282,61821,5.8519,-204,136411,121659,134715,74590,19.866666666666668,21.166666666666668,9.9190364136720784
1991-10-01,50066,NA,17.328532856666666,55.333333333333336,61507,202584,13953,69583,69545,5.0693,3073,152518,192419,150288,82973,21.400000000000004,22.666666666666668,8.9796403390636144
1992-01-01,41709,NA,15.423363686666666,56.466666666666664,59619,174547,14077,67168,60400,4.2498,2979,132838,178205.33333333334,129829,72438,18.633333333333332,19.533333333333332,9.12606036693628
1992-04-01,37229,NA,17.742997489999996,57.566666666666664,55511,172868,13870,74124,59148,4.0414,1585,135639,169138.66666666666,138703,76491,15.066666666666668,16.033333333333334,12.994802079168332
1992-07-01,32924,NA,18.19411977,59.066666666666664,59670,170486,13408,74727,62495,3.4174,4193,137562,198416,139051,75067,15.6,16.633333333333332,8.513896332593216
1992-10-01,51709,NA,17.196177163333332,59.666666666666664,66631,201040,13982,73254,65341,3.6205,3698,149331,194836,153926,83990,14.766666666666666,15.5,8.6440030557677616
